City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hermanus,ZA,63.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
12,Punta Arenas,CL,62.71,clear sky,-53.15,-70.9167,Hotel Hain
15,Gejiu,CN,43.83,overcast clouds,23.306,103.1635,Hongtai Commercial Hotel
21,Bluff,NZ,61.81,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
22,Naze,JP,56.39,overcast clouds,28.3667,129.4833,Shishime Hotel
29,Hobart,AU,64.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
30,Ushuaia,AR,64.06,scattered clouds,-54.8,-68.3,Albatross Hotel
33,Mataura,NZ,61.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
41,Los Llanos De Aridane,ES,56.95,clear sky,28.6585,-17.9182,Valle Aridane
43,New Norfolk,AU,63.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
52,Castro,BR,61.0,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
55,Saint George,US,61.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
66,Constitucion,CL,63.7,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
74,Brae,GB,48.11,overcast clouds,60.3964,-1.353,Busta House Hotel
75,Lagoa,PT,57.78,overcast clouds,39.05,-27.9833,Casa Das Faias
77,Salobrena,ES,57.74,clear sky,36.7428,-3.5872,Impressive Playa Granada Golf
95,Rhyl,GB,53.01,overcast clouds,53.3196,-3.4886,Westminster Hotel
100,Herouville-Saint-Clair,FR,47.39,overcast clouds,49.2109,-0.3065,Best Hotel Caen Citis - Hérouville Saint Clair
