City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Khani,GE,2022-01-24 06:53:11,41.9563,42.9566,35.17,88,100,2.48
97,Vestmanna,FO,2022-01-24 06:51:33,62.1564,-7.1664,38.32,81,75,18.41
98,Sheregesh,RU,2022-01-24 06:54:11,52.9209,87.9869,13.42,84,100,2.15
99,Acapulco,MX,2022-01-24 06:51:34,16.8634,-99.8901,75.78,68,0,7.25
100,Arraial Do Cabo,BR,2022-01-24 06:49:00,-22.9661,-42.0278,74.32,87,5,20.36
101,Caravelas,BR,2022-01-24 06:54:12,-17.7125,-39.2481,73.65,89,40,5.41
102,Aklavik,CA,2022-01-24 06:54:13,68.2191,-135.0107,4.03,96,15,9.13
103,Nevers,FR,2022-01-24 06:54:13,46.9167,3.3333,32.59,93,100,8.05
104,Tucuman,AR,2022-01-24 06:50:04,-26.8241,-65.2226,71.6,94,75,8.05
105,Mataura,NZ,2022-01-24 06:49:32,-46.1927,168.8643,59.49,55,7,5.61
106,Virginia Beach,US,2022-01-24 06:50:52,36.8529,-75.978,37.42,77,0,8.05
107,Tiksi,RU,2022-01-24 06:44:48,71.6872,128.8694,-9.08,100,100,2.37
108,Mount Isa,AU,2022-01-24 06:54:15,-20.7333,139.5,82.17,74,75,14.97
109,Khatanga,RU,2022-01-24 06:54:16,71.9667,102.5,-7.44,99,100,8.21
110,Baruun-Urt,MN,2022-01-24 06:54:16,46.6806,113.2792,10.9,87,100,5.46
111,Souillac,MU,2022-01-24 06:54:17,-20.5167,57.5167,87.37,83,75,8.05
112,Los Llanos De Aridane,ES,2022-01-24 06:54:17,28.6585,-17.9182,60.55,86,75,8.99
113,Tacuarembo,UY,2022-01-24 06:54:17,-31.7333,-55.9833,73.17,98,55,3.13
114,Kaitangata,NZ,2022-01-24 06:54:18,-46.2817,169.8464,58.93,76,83,4.81
115,Codrington,AU,2022-01-24 06:54:18,-38.2667,141.9667,78.69,46,98,19.95
116,Tucupita,VE,2022-01-24 06:54:19,9.0622,-62.051,66.74,99,18,2.73
117,Esperance,AU,2022-01-24 06:50:48,-33.8667,121.9,66.04,68,21,13.22
118,Flinders,AU,2022-01-24 06:54:19,-34.5833,150.8552,78.21,72,83,9.57
119,Alta Floresta,BR,2022-01-24 06:54:20,-9.8756,-56.0861,68.41,99,41,1.14
